location,listing_title,price,date_created,agent_name,internal_features,external_features,nearby,link
 Ngong Road,3 Bed House with En Suite at Ngong Road,7500000.0,2023-06-29,Ngong Hills Agency,"En Suite, Serviced","Parking, Garden","Bus Stop, Shopping Centre, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ngong-3611478
 Kencom Sacco,4 Bed Townhouse with En Suite at Kencom Sacco,41000000.0,2023-07-07,LIflac Properties,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3612031
gton,6 Bed Townhouse with En Suite in Lavington,55000000.0,2023-06-19,Ocean Oasis,"Aircon, Alarm, En Suite, Fibre Internet, Walk In Closet, Service Charge Included","BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Swimming Pool","Bus Stop, Shopping Centre, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-lavington-3602821
 Nyali,3 Bed House with En Suite at Nyali,27000000.0,2023-06-10,Benford Homes,"En Suite, Fibre Internet","CCTV, BBQ, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access","Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-nyali-area-3599369
 Eastern Bypass,4 Bed Villa with En Suite at Eastern Bypass,12600000.0,2023-06-13,MK PROPERTIES,"Alarm, Backup Generator, En Suite, Fibre Internet, Serviced","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Swimming Pool, Wheelchair Access","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-eastern-bypass-1-3577418
 Acacia,3 Bed House with En Suite at Acacia,6200000.0,2023-06-27,Blu cherryDUPLICATE,"Alarm, En Suite, Fibre Internet","Parking, Borehole, Garden","Bus Stop, Shopping Centre, Hospital, School",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-1-3597425
 Nyali,10 Bed Villa with En Suite at Nyali,600000000.0,2023-05-24,Benford Homes,"Aircon, Furnished, Alarm, Serviced, Backup Generator, En Suite, Walk In Closet","Balcony, Parking, CCTV, Electric Fence, Garden, Wheelchair Access",Sea View,https://www.buyrentkenya.com/listings/furnished-10-bedroom-villa-for-sale-mombasa-cbd-3463392
 South C,4 Bed House with En Suite in South C,26000000.0,2023-06-21,Villawatch Limited,"En Suite, Service Charge Included","Parking, Electric Fence","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-south-c-2-3576022
 Runda,7 Bed House in Runda,140000000.0,2023-05-24,Coral Property International Ltd,nan,nan,nan,https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-runda-3588225
 Ruiru,3 Bed House with Walk In Closet in Ruiru,6500000.0,2023-06-06,Litana Investments,"Serviced, Walk In Closet","Balcony, Parking","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ruiru-3605265
a Rongai,3 Bed House with En Suite in Ongata Rongai,5600000.0,2023-06-27,Leilach Properties,"En Suite, Fibre Internet","Garden, Wheelchair Access, Parking","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ongata-rongai-2-3596547
 Utawala,3 Bed House with En Suite in Utawala,9000000.0,2022-02-22,Tysons Limited,"En Suite, Fibre Internet","Borehole, Parking","Bus Stop, Hospital",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-utawala-3513236
 Runda,6 Bed House with En Suite in Runda,120000000.0,2023-05-08,Cosmos Properties,"Aircon, Alarm, En Suite, Fibre Internet, Walk In Closet, Service Charge Included","Balcony, BBQ, Garden, CCTV, Parking, Staff Quarters","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-runda-3531154
 Loresho,4 Bed Townhouse with En Suite in Loresho,30000000.0,2023-06-29,Cloud Real Estate,"En Suite, Backup Generator","Garden, Electric Fence",nan,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-loresho-21-3423974
 Waiyaki Way,4 Bed House in Waiyaki Way,42000000.0,2023-05-24,Abacus Property Consultants Ltd,"Parking, Staff Quarters, Electric Fence","Bus Stop, Shopping Centre, School, Hospital",nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-waiyaki-way-3601954
 Kileleshwa,5 Bed House in Kileleshwa,65000000.0,2023-06-30,Geoscape Global Limited,nan,nan,nan,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kileleshwa-3454690
 Sultan Palace,1 Bed House with Swimming Pool at Sultan Palace,11000000.0,2023-04-19,Furaha Properties,"Garden, Swimming Pool",nan,nan,https://www.buyrentkenya.com/listings/1-bedroom-house-for-sale-kikambala-9-3405156
 Runda,5 Bed House with En Suite at Runda,230000000.0,2023-06-18,Fab Real Estate,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-1-3570625
asia,3 Bed House with En Suite at Matasia,6800000.0,2023-07-07,Skybraze homes,En Suite,"Garden, Parking",nan,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ongata-rongai-3613948
 Syokimau,4 Bed Townhouse with En Suite in Syokimau,12000000.0,2023-06-02,Sapien Settlements,"Alarm, En Suite, Fibre Internet","Garden, Parking, Staff Quarters","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-syokimau-3604034
 Lower Kabete,4 Bed House in Lower Kabete,125000000.0,2023-05-24,Coral Property International Ltd,nan,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-lower-kabete-3593425
 Naivasha,3 Bed House with Garden in Naivasha,14000000.0,2023-07-07,Elby Properties Ltd,"Garden, Borehole, Electric Fence, Parking, Staff Quarters","Sea View, School, Scenic View, Hospital, Shopping Centre, Bus Stop",nan,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-naivasha-3605576
 Kitisuru,4 Bed Townhouse with Garden in Kitisuru,135000000.0,2023-06-26,Durian Property Consult Ltd,Backup Generator,"Parking, Garden,  Borehole, Electric Fence, Balcony","Bus Stop, Shopping Centre, Hospital, School",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kitisuru-3610695
 Kitengela Road,3 Bed House with Garden at Kitengela Road,5800000.0,2023-07-08,Homeken Limited,Garden,nan,nan,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3-3598197
 Runda,5 Bed House with En Suite in Runda,80000000.0,2023-05-24,Exceptional Homes,"Aircon, Backup Generator, En Suite, Fibre Internet,  , Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Garden, Parking,  Staff Quarters","Bus Stop, Golf Course, Scenic View, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3600886
 Ruiru-Githunguri Road,4 Bed Villa with En Suite at Ruiru-Githunguri Road,15500000.0,2023-06-13,MK PROPERTIES,"Alarm, Backup Generator, En Suite, Fibre Internet, Serviced, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Gym, Parking, Staff Quarters, Swimming Pool, Wheelchair Access","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-villa-for-sale-ruiru-1-3548428
 Nyali Area,4 Bed Townhouse in Nyali Area,36000000.0,2023-04-19,Furaha Properties,nan,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-nyali-area-8-3443753
 Rosslyn,5 Bed House in Rosslyn,75000000.0,2023-06-30,Geoscape Global Limited,nan,nan,nan,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-rosslyn-3454858
 Kodhek Road,5 Bed Townhouse with En Suite at Kodhek Road,78000000.0,2023-06-28,Pemukika Agency,"En Suite, Alarm, Walk In Closet, Fibre Internet, Backup Generator","Balcony, CCTV, Borehole, Gym, Parking, Garden, Electric Fence","Bus Stop, Hospital, School, Shopping Centre, Scenic View",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kilimani-3527064
e,5 Bed House with En Suite in Garden Estate,59000000.0,2022-11-16,Pam Golding Properties,En Suite,"Parking, Garden, Balcony","Hospital, School",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-garden-estate-3475011
gton,5 Bed Townhouse with En Suite in Lavington,50000000.0,2023-06-16,Citywing Consult,"Alarm, Backup Generator, En Suite, Fibre Internet, Service Charge Included, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Golf Course,  , Hospital, Scenic View, School, Sea View, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lavington-2-3559048
 Imara Daima,2 Bed House with Garden in Imara Daima,7500000.0,2023-05-16,Metrocosmo Limited,"Service Charge Included, Serviced","Garden, Electric Fence","School, Scenic View, Hospital, Bus Stop, Shopping Centre",https://www.buyrentkenya.com/listings/2-bedroom-house-for-sale-imara-daima-3542549
 Kitengela,5 Bed Townhouse with En Suite in Kitengela,9000000.0,2023-05-24,Landmark Realtors Ltd,"En Suite, Walk In Closet","Balcony, Electric Fence, Garden, Staff Quarters, Parking",nan,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-kitengela-3601935
 Eastern ByPass,5 Bed House with Garden in Eastern ByPass,25500000.0,2023-05-24,Litana Investments,"Alarm, Serviced, Walk In Closet","Balcony, CCTV, Garden, Parking","Bus Stop, Scenic View, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-eastern-bypass-3578911
 Runda,5 Bed House with En Suite in Runda,110000000.0,2023-07-04,Dakima Home International,"Alarm, Backup Generator, En Suite,  , Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole,  Garden, Parking, Staff Quarters, Swimming Pool",nan,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3602072
 Nairobi,5 Bed House with En Suite at Nairobi,160000000.0,2023-05-09,Fit Property,"En Suite, Walk In Closet","Balcony, CCTV, Electric Fence, Garden, Parking, Gym, Swimming Pool",nan,https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-lower-kabete-3597678
 Kangundo Road,3 Bed House with En Suite at Kangundo Road,8300000.0,2023-05-25,Utugi Homes,En Suite,"CCTV, Parking, Balcony, Electric Fence, Borehole, Garden, Wheelchair Access, BBQ","Shopping Centre, Bus Stop, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-joska-3602486
 Acacia,4 Bed House with En Suite at Acacia,6000000.0,2023-06-30,Vector Afriq Properties Ltd,"Alarm, En Suite, Fibre Internet","Staff Quarters, Borehole, Parking","Bus Stop, Shopping Centre, School, Hospital",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kitengela-2-3581126
 Nalepo,3 Bed House with En Suite at Nalepo,7500000.0,2023-05-13,Sphere Real Estate,En Suite,"CCTV, Electric Fence, Parking","Hospital, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kiserian-3553583
 Runda Road,7 Bed House with En Suite at Runda Road,120000000.0,2023-06-26,Nairobi Royal Homes,"Aircon, Alarm, Walk In Closet, Backup Generator, En Suite","Wheelchair Access, Borehole, Garden, Electric Fence, CCTV, Staff Quarters, Parking, BBQ, Balcony","Shopping Centre, Bus Stop, Hospital, School",https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-runda-1-3586456
gton,4 Bed Townhouse with En Suite in Lavington,62000000.0,2023-07-01,Leti Realty Limited,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, CCTV,  Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-1-3571067
 Kikambala,3 Bed Townhouse in Kikambala,15000000.0,2023-04-19,Furaha Properties,nan,nan,nan,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-kikambala-9-3425996
 Ruiru,4 Bed Townhouse in Ruiru,16000000.0,2023-07-04,Crestace Real Estate Ltd,nan,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-ruiru-3542261
 Kerarapon,5 Bed House with En Suite at Kerarapon,40000000.0,2023-06-12,WSCP Ltd,En Suite,"Balcony, BBQ, Electric Fence, Garden, Parking, Staff Quarters","Bus Stop, Scenic View, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-1-3595434
 Ngong,4 Bed House with Garden in Ngong,16500000.0,2023-06-06,Litana Investments,"Serviced, Walk In Closet","Balcony, Borehole, Garden, Parking, Staff Quarters","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ngong-3605269
 Kitengela,3 Bed House with En Suite in Kitengela,6000000.0,2023-06-30,Vector Afriq Properties Ltd,"Alarm, En Suite","Garden, Parking","Bus Stop, Shopping Centre, Hospital, School",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-2-3600792
 Kikambala,4 Bed House with En Suite in Kikambala,85000000.0,2023-04-19,Furaha Properties,En Suite,"CCTV, Swimming Pool, Parking, BBQ, Gym, Balcony","Shopping Centre, School, Sea View, Hospital, Scenic View",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-kikambala-3578024
 Muigai,3 Bed House with Gym at Muigai,12500000.0,2023-06-19,Cherd Africa LTD,"Balcony, Gym, Parking, BBQ, CCTV, Staff Quarters, Electric Fence, Borehole, Garden","Bus Stop, Hospital, Scenic View, School, Shopping Centre",nan,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3608806
 Lavington,4 Bed Townhouse with En Suite at Lavington,65000000.0,2023-07-03,Prudential Green Ville,"Service Charge Included, En Suite, Walk In Closet","CCTV, Parking, Balcony, Staff Quarters, Electric Fence, Garden","School, Scenic View, Hospital, Golf Course, Bus Stop, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-lavington-1-3584676
 Runda,4 Bed Townhouse with En Suite in Runda,30000000.0,2023-07-07,Glo Realtors,"Alarm, Backup Generator, En Suite, Fibre Internet,  Walk In Closet","Balcony, Gym, BBQ, Parking, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Borehole, Wheelchair Access, Garden","Bus Stop, Shopping Centre, Golf Course, Hospital, School, Sea View",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3613865
 Acacia,3 Bed House with En Suite at Acacia,7500000.0,2023-06-05,Wankim Investments,"En Suite, Fibre Internet, Alarm","CCTV, Borehole, Garden, Parking, Staff Quarters, Swimming Pool","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3571425
 Savannah Road,4 Bed Townhouse at Savannah Road,11000000.0,2023-05-09,Regent Management Ltd,"Bus Stop, Hospital, School",nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-donholm-3519945
 Karen Mukoma Road,4 Bed House with En Suite at Karen Mukoma Road,80000000.0,2023-07-01,Mapema Properties,"Backup Generator, Alarm, En Suite, Serviced, Walk In Closet","Balcony, Electric Fence, Garden, Parking","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-1-3583119
 Vipingo Ridge,3 Bed Villa with En Suite at Vipingo Ridge,15500000.0,2023-06-05,Symonns Realty,"En Suite, Service Charge Included, Fibre Internet, Walk In Closet","Garden, Gym, Parking, Swimming Pool, Electric Fence, CCTV, Borehole, Staff Quarters","Scenic View, Bus Stop, Shopping Centre, Golf Course, Hospital, School, Sea View",https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-kikambala-3382566
e,3 Bed House with En Suite at Kayole Estate,4500000.0,2023-07-08,Zyve,"En Suite, Walk In Closet, Serviced","Garden, Borehole, Parking, Balcony","Shopping Centre, Bus Stop, Golf Course, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-naivasha-11-3592966
e,4 Bed House with Garden in Garden Estate,55000000.0,2022-11-16,Pam Golding Properties,"Parking, Garden","Bus Stop, Hospital, School, Shopping Centre",nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-garden-estate-3551076
 Nyali Area,9 Bed Townhouse with En Suite in Nyali Area,160000000.0,2023-06-28,Joslink Property Group,"Aircon, Backup Generator, Fibre Internet, Serviced, Walk In Closet, Service Charge Included, Furnished, En Suite, Alarm","Swimming Pool, Parking, Garden, Electric Fence, BBQ, Balcony, CCTV, Borehole, Gym, Staff Quarters, Wheelchair Access","Sea View, Scenic View, Golf Course, Bus Stop, Hospital, School",https://www.buyrentkenya.com/listings/furnished-9-bedroom-townhouse-for-sale-nyali-area-1-3464089
 Runda,4 Bed Townhouse with En Suite at Runda,29999000.0,2023-06-06,El Roi Properties,"Backup Generator,  Fibre Internet, En Suite, Alarm, Serviced, Service Charge Included, Aircon, Walk In Closet","Balcony, CCTV, Borehole, Gym, Staff Quarters, BBQ, Electric Fence, Garden, Parking, Swimming Pool, Wheelchair Access","Bus Stop, Hospital, School, Golf Course, Scenic View, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-9-3440231
 Kitengela,4 Bed Townhouse with En Suite in Kitengela,13500000.0,2023-05-23,Prime Plush Properties,En Suite,"Balcony, Parking, Staff Quarters, Borehole, Electric Fence","Bus Stop, Shopping Centre, Hospital, School",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kitengela-3582452
a Rongai,5 Bed Villa with En Suite in Ongata Rongai,30000000.0,2023-05-24,Litana Investments,"Alarm, En Suite, Walk In Closet","Balcony, CCTV, Garden, Parking, Staff Quarters","Bus Stop, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-ongata-rongai-3553292
 Westlands Area,5 Bed Townhouse with En Suite in Westlands Area,70000000.0,2023-05-11,Cura International,"En Suite, Walk In Closet","Parking, Borehole, Garden","Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-westlands-area-3496725
 Evergreen,7 Bed House with En Suite at Evergreen,140000000.0,2023-07-01,Crystal Valuers LTD,"En Suite, Fibre Internet, Serviced","Balcony, CCTV, BBQ, Electric Fence, Borehole, Garden, Parking","School, Golf Course, Hospital",https://www.buyrentkenya.com/listings/7-bedroom-house-for-sale-runda-3612164
 Westlands Area,4 Bed Townhouse in Westlands Area,42500000.0,2023-05-24,Coral Property International Ltd,nan,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3595274
 View,5 Bed House with Garden in Mountain View,47500000.0,2023-06-07,Savvy Caretaker,Fibre Internet,"Parking, Electric Fence, Garden, Balcony","Hospital, Shopping Centre, Bus Stop, School",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-mountain-view-3605422
 Red Hill Drive,5 Bed Villa with En Suite at Red Hill Drive,130000000.0,2023-06-09,Abacus Property Consultants Ltd,En Suite,"Balcony, CCTV, Staff Quarters, Electric Fence, Swimming Pool, Garden, Parking","Shopping Centre, School, Hospital",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-nyari-3606168
 Namanga Road,3 Bed House with En Suite at Namanga Road,9500000.0,2023-07-07,Finest  Home Real Estate,"En Suite, Fibre Internet, Serviced","Electric Fence, Borehole, Garden, Parking","Bus Stop, School, Hospital, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3613874
 Syokimau,4 Bed Townhouse with Garden in Syokimau,14500000.0,2023-05-05,Live n Style Agencies,"Aircon, Alarm, Backup Generator, Fibre Internet, Serviced, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop,  , Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-syokimau-3542162
 Nakuru,3 Bed House with En Suite in Nakuru,10000000.0,2023-05-16,Metrocosmo Limited,En Suite,"Garden, Parking","Bus Stop, Hospital, Shopping Centre, School",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-nakuru-town-3598584
 Mlolongo,6 Bed House with En Suite at Mlolongo,133000000.0,2023-05-24,Coral Property International Ltd,En Suite,"Parking, Swimming Pool, Staff Quarters",Scenic View,https://www.buyrentkenya.com/listings/6-bedroom-house-for-sale-athi-river-area-3539601
 Karen,4 Bed House in Karen,180000000.0,2023-04-19,Karengata Property Managers,nan,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-3557711
 Lower Kabete,5 Bed Townhouse with En Suite in Lower Kabete,87000000.0,2023-07-01,Leti Realty Limited,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony,  BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Hospital, Golf Course, School, Scenic View, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-lower-kabete-1-3601749
 Mukoma Road,4 Bed House with En Suite at Mukoma Road,80000000.0,2023-07-01,Mapema Properties,"En Suite, Service Charge Included, Walk In Closet","Balcony, Garden, Staff Quarters","Bus Stop, Hospital, School, Shopping Centre, Golf Course, Scenic View",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-karen-1-3583440
 Westlands Area,4 Bed Townhouse with Swimming Pool in Westlands Area,48000000.0,2023-05-13,Spacetech Enterprises,"Swimming Pool, Staff Quarters, Parking, Garden, Borehole, Electric Fence, Balcony, BBQ",nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-westlands-area-3599521
 Nyari,5 Bed Townhouse with En Suite in Nyari,130000000.0,2023-05-30,Aldrich Property Consultants,"Alarm, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Garden, Parking, Staff Quarters","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-nyari-3603653
 Ukunda,3 Bed Villa with En Suite at Ukunda,60000000.0,2023-06-13,Sky Miles Properties,"Aircon, Alarm, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, Electric Fence, Borehole, Garden, Parking, Swimming Pool, Wheelchair Access","Bus Stop,  , Golf Course, Hospital, Scenic View, School, Sea View, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-villa-for-sale-diani-1-3583819
 Nyali Area,4 Bed Townhouse with En Suite in Nyali Area,35000000.0,2023-06-28,Joslink Property Group,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Electric Fence, Borehole, Parking, CCTV, Balcony, Garden","Hospital, Scenic View, School, Bus Stop",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-nyali-area-1-3465230
 Ngong,4 Bed Townhouse with En Suite in Ngong,24500000.0,2021-12-14,Tysons Limited,En Suite,Balcony,nan,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-ngong-1-3416230
 Kiambu Road,5 Bed House with En Suite in Kiambu Road,70250000.0,2023-07-04,Litana Investments,"Backup Generator, En Suite, Fibre Internet, Serviced, Walk In Closet","Balcony, Gym, Parking, Staff Quarters, Swimming Pool, Borehole, Electric Fence, Garden","Bus Stop, Golf Course, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kiambu-road-3612839
a Rongai,3 Bed House with En Suite in Ongata Rongai,5500000.0,2023-06-27,Leilach Properties,"En Suite, Fibre Internet","Wheelchair Access, Garden","Bus Stop, Scenic View, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-ongata-rongai-1-3552636
 Joska,3 Bed House with En Suite at Joska,7750000.0,2023-05-19,UrBAN HOMES,"En Suite, Serviced, Service Charge Included, Backup Generator","BBQ, Electric Fence, Garden, Borehole,  , Parking, Wheelchair Access, CCTV","School, Hospital, Bus Stop, Scenic View,  Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-joska-3524036
 Westlands Area,5 Bed Townhouse with Alarm in Westlands Area,39500000.0,2023-06-07,Savvy Caretaker,"Alarm, Fibre Internet","Balcony, Parking, Staff Quarters, Electric Fence","Shopping Centre, Bus Stop, Hospital, School",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-westlands-area-3605441
 Kitengela,3 Bed House with En Suite in Kitengela,4500000.0,2023-06-12,RockSand Homes,"Aircon, Alarm, En Suite, Fibre Internet","CCTV, Electric Fence, Borehole, Garden, Parking, Wheelchair Access","Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kitengela-3585301
 Kiambu Road,4 Bed Townhouse with Swimming Pool at Kiambu Road,30500000.0,2023-06-26,Leissure Homes Kenya,"Aircon, Alarm, Service Charge Included, Backup Generator,  , Fibre Internet","Balcony, Gym, Parking, CCTV, Staff Quarters, Electric Fence,  Swimming Pool, Borehole, Wheelchair Access, Garden","Bus Stop, Shopping Centre, Hospital, School",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-runda-3610756
 Kiambu Road,4 Bed Townhouse with En Suite in Kiambu Road,40000000.0,2023-07-06,Royal Properties Market Limited,"En Suite, Walk In Closet","BBQ, Garden, Staff Quarters, Parking","Bus Stop, Shopping Centre, Scenic View, School, Hospital, Golf Course",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kiambu-road-2-3578175
 Nyali,4 Bed House with En Suite at Nyali,57000000.0,2023-05-24,Benford Homes,"Aircon, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-nyali-area-3582296
gton,4 Bed House with En Suite in Lavington,69000000.0,2023-06-02,HOMES.COM,"Walk In Closet, Backup Generator, En Suite","Electric Fence, CCTV, Parking, Borehole, Wheelchair Access, Balcony","Shopping Centre, Bus Stop, Golf Course, Hospital, Scenic View, School",https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-lavington-3604375
 Nairobi,4 Bed House at Nairobi,170000000.0,2023-04-01,Fit Property,nan,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-muthaiga-2-3448858
amu,4 Bed House in Watamu,60000000.0,2023-04-19,Furaha Properties,nan,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-watamu-3425992
 Kiambu Road,3 Bed House in Kiambu Road,22500000.0,2023-06-30,Geoscape Global Limited,nan,nan,nan,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kiambu-road-3454917
