location,listing_title,price,date_created,agent_name,internal_features,external_features,nearby,link
 Kangundo Road,3 Bed House with En Suite at Kangundo Road,7700000.0,2023-06-03,Kijani Homes Realtors,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet, Serviced","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Wheelchair Access, Staff Quarters, Parking","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-joska-3604484
 Kiambu Road,3 Bed Townhouse with En Suite in Kiambu Road,21500000.0,2022-11-07,HassConsult,"En Suite, Fibre Internet, Walk In Closet","Swimming Pool, Staff Quarters, Parking, CCTV, Gym, Balcony, Garden",School,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-kiambu-road-2-3478042
 Runda,5 Bed House with En Suite in Runda,80000000.0,2023-06-26,Exceptional Homes,"Alarm, Backup Generator, En Suite, Fibre Internet, Walk In Closet","Balcony, BBQ, CCTV, Electric Fence, Garden, Parking, Staff Quarters","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-runda-3610450
 Ngong,4 Bed House with Garden at Ngong,25000000.0,2023-06-28,Skybraze homes,Garden,nan,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-sale-ngong-3610227
 Masai Lodge Road,6 Bed Townhouse with En Suite at Masai Lodge Road,45000000.0,2022-10-10,Trelisa Properties,En Suite,"Balcony, Electric Fence, Garden, Parking, Staff Quarters",Scenic View,https://www.buyrentkenya.com/listings/6-bedroom-townhouse-for-sale-ongata-rongai-3561179
ta,3 Bed House with En Suite at Kenyatta,5800000.0,2023-06-26,Arthi Africa Homes,"Aircon, Alarm, Backup Generator, En Suite, Fibre Internet, Serviced, Walk In Closet, Service Charge Included","Wheelchair Access, Parking, Gym, Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-kenyatta-road-3610749
 Old Runda,5 Bed Townhouse with En Suite at Old Runda,80000000.0,2023-07-07,Rockfield Management Ltd,"Walk In Closet, En Suite, Fibre Internet","Balcony, Parking, Staff Quarters, Wheelchair Access, Garden","Shopping Centre, Scenic View, School, Hospital",https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-runda-3605356
 Runda,5 Bed Villa with En Suite in Runda,,2022-12-16,Riverdale Properties,"Backup Generator, En Suite, Walk In Closet","Balcony, Gym, Parking, Staff Quarters, Electric Fence, Swimming Pool, Garden, CCTV","Shopping Centre, School",https://www.buyrentkenya.com/listings/5-bedroom-villa-for-sale-runda-3555944
 Embakasi,3 Bed House in Embakasi,13500000.0,2023-06-19,Landmark Top Solutions,nan,nan,nan,https://www.buyrentkenya.com/listings/3-bedroom-house-for-sale-embakasi-5-3377553
 Kiambu Road,4 Bed Villa with En Suite in Kiambu Road,30000000.0,2023-07-08,El Roi Properties,"Aircon, Alarm,  Backup Generator, En Suite, Fibre Internet, Walk In Closet, Serviced, Furnished","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Wheelchair Access","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/furnished-4-bedroom-villa-for-sale-kiambu-road-1-3596703
 Kitengela Near Gmc,3 Bed Townhouse with En Suite at Kitengela Near Gmc,10500000.0,2023-06-13,Westside Real Estate,"En Suite, Alarm, Walk In Closet, Fibre Internet","BBQ, Electric Fence, Borehole, Garden, Staff Quarters, Swimming Pool, Gym, Parking, Balcony","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-kitengela-1-3536253
 Kikuyu Town,4 Bed Townhouse with En Suite in Kikuyu Town,12000000.0,2023-06-23,Realux Holding Limited,"Alarm, Service Charge Included, En Suite, Walk In Closet, Fibre Internet","Balcony, Garden, BBQ, CCTV, Parking, Electric Fence, Borehole","Bus Stop, Scenic View, Hospital, School",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kikuyu-town-3479067
 Karen,5 Bed House with En Suite at Karen,105000000.0,2023-06-13,Westside Real Estate,"Walk In Closet, Alarm, Backup Generator, En Suite, Fibre Internet","Balcony, Electric Fence, BBQ, CCTV, Borehole, Garden, Swimming Pool, Staff Quarters, Parking, Gym","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-karen-1-3577975
 Kitengela,4 Bed Townhouse with En Suite in Kitengela,12000000.0,2023-06-12,Marini Homes,"En Suite, Walk In Closet","Parking, Balcony, Staff Quarters, Electric Fence, Garden","Bus Stop, Hospital, School, Shopping Centre",https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-sale-kitengela-1-3581171
 Mzambarauni,3 Bed Townhouse with En Suite at Mzambarauni,8500000.0,2023-07-06,BLISS HOMES,"En Suite, Backup Generator, Alarm, Walk In Closet, Fibre Internet","Balcony, BBQ, CCTV, Electric Fence, Borehole, Garden, Parking, Staff Quarters, Swimming Pool, Wheelchair Access","Bus Stop, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-mtwapa-1-3593553
 Boma Road,3 Bed Townhouse with Garden at Boma Road,21000000.0,2023-07-07,Elby Properties Ltd,Fibre Internet,"Garden, Electric Fence, Borehole, Parking, Staff Quarters","Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-kiambu-road-3537761
 Gikambura Road,3 Bed Townhouse with En Suite at Gikambura Road,8500000.0,2023-07-03,Afrique Properties Limited,"Alarm, En Suite, Fibre Internet","Balcony, Electric Fence, Parking","Bus Stop, Golf Course, Hospital, Scenic View, School, Shopping Centre",https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-sale-gikambura-3603645
 Nyali Area,8 Bed House with En Suite in Nyali Area,85000000.0,2023-04-19,Furaha Properties,"En Suite, Walk In Closet",nan,nan,https://www.buyrentkenya.com/listings/8-bedroom-house-for-sale-nyali-area-3384388
 Karen,5 Bed Townhouse in Karen,90000000.0,2023-07-03,Premier Gold -Real Estate,nan,nan,nan,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-sale-karen-3474196
 Kitengela,5 Bed House with En Suite at Kitengela,16499000.0,2023-07-03,Minazi Homes,"En Suite, Walk In Closet, Serviced, Fibre Internet","Balcony, Parking, Garden, Staff Quarters, Electric Fence, CCTV, Wheelchair Access","Bus Stop, Scenic View, School, Hospital, Shopping Centre",https://www.buyrentkenya.com/listings/5-bedroom-house-for-sale-kitengela-5-3500166
